instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category
17,2011-01-01,Spring,0,1,16,0,6,0,Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,Evening Peak
18,2011-01-01,Spring,0,1,17,0,6,0,Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,Evening Peak
19,2011-01-01,Spring,0,1,18,0,6,0,Light Rain/Snow,0.42,0.4242,0.88,0.2537,9,26,35,Evening Peak
20,2011-01-01,Spring,0,1,19,0,6,0,Light Rain/Snow,0.42,0.4242,0.88,0.2537,6,31,37,Evening Peak
21,2011-01-01,Spring,0,1,20,0,6,0,Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,Evening Peak
22,2011-01-01,Spring,0,1,21,0,6,0,Cloudy,0.4,0.4091,0.87,0.194,3,31,34,Off-peak/Night
23,2011-01-01,Spring,0,1,22,0,6,0,Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,Off-peak/Night
24,2011-01-01,Spring,0,1,23,0,6,0,Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,Off-peak/Night
25,2011-01-02,Spring,0,1,0,0,0,0,Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,Off-peak/Night
26,2011-01-02,Spring,0,1,1,0,0,0,Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,Off-peak/Night
27,2011-01-02,Spring,0,1,2,0,0,0,Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,Off-peak/Night
28,2011-01-02,Spring,0,1,3,0,0,0,Cloudy,0.46,0.4545,0.94,0.194,2,4,6,Off-peak/Night
29,2011-01-02,Spring,0,1,4,0,0,0,Cloudy,0.46,0.4545,0.94,0.194,2,1,3,Off-peak/Night
30,2011-01-02,Spring,0,1,6,0,0,0,Light Rain/Snow,0.42,0.4242,0.77,0.2985,0,2,2,Morning Peak
31,2011-01-02,Spring,0,1,7,0,0,0,Cloudy,0.4,0.4091,0.76,0.194,0,1,1,Morning Peak
32,2011-01-02,Spring,0,1,8,0,0,0,Light Rain/Snow,0.4,0.4091,0.71,0.2239,0,8,8,Morning Peak
33,2011-01-02,Spring,0,1,9,0,0,0,Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,Morning Peak
34,2011-01-02,Spring,0,1,10,0,0,0,Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,Morning Peak
35,2011-01-02,Spring,0,1,11,0,0,0,Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,Mid-day
36,2011-01-02,Spring,0,1,12,0,0,0,Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,Mid-day
37,2011-01-02,Spring,0,1,13,0,0,0,Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,Mid-day
38,2011-01-02,Spring,0,1,14,0,0,0,Light Rain/Snow,0.36,0.3485,0.76,0.194,4,55,59,Mid-day
39,2011-01-02,Spring,0,1,15,0,0,0,Light Rain/Snow,0.34,0.3333,0.81,0.1642,19,55,74,Mid-day
40,2011-01-02,Spring,0,1,16,0,0,0,Light Rain/Snow,0.34,0.3333,0.71,0.1642,9,67,76,Evening Peak
41,2011-01-02,Spring,0,1,17,0,0,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,Evening Peak
42,2011-01-02,Spring,0,1,18,0,0,0,Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,Evening Peak
43,2011-01-02,Spring,0,1,19,0,0,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Evening Peak
44,2011-01-02,Spring,0,1,20,0,0,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Evening Peak
45,2011-01-02,Spring,0,1,21,0,0,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Off-peak/Night
46,2011-01-02,Spring,0,1,22,0,0,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Off-peak/Night
47,2011-01-02,Spring,0,1,23,0,0,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Off-peak/Night
48,2011-01-03,Spring,0,1,0,0,1,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,Off-peak/Night
49,2011-01-03,Spring,0,1,1,0,1,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Off-peak/Night
50,2011-01-03,Spring,0,1,4,0,1,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Off-peak/Night
51,2011-01-03,Spring,0,1,5,0,1,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Off-peak/Night
52,2011-01-03,Spring,0,1,6,0,1,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Morning Peak
53,2011-01-03,Spring,0,1,7,0,1,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,Morning Peak
54,2011-01-03,Spring,0,1,8,0,1,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Morning Peak
55,2011-01-03,Spring,0,1,9,0,1,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Morning Peak
56,2011-01-03,Spring,0,1,10,0,1,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Morning Peak
57,2011-01-03,Spring,0,1,11,0,1,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Mid-day
58,2011-01-03,Spring,0,1,12,0,1,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Mid-day
59,2011-01-03,Spring,0,1,13,0,1,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Mid-day
60,2011-01-03,Spring,0,1,14,0,1,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Mid-day
61,2011-01-03,Spring,0,1,15,0,1,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Mid-day
62,2011-01-03,Spring,0,1,16,0,1,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Evening Peak
63,2011-01-03,Spring,0,1,17,0,1,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Evening Peak
64,2011-01-03,Spring,0,1,18,0,1,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Evening Peak
65,2011-01-03,Spring,0,1,19,0,1,1,Clear,0.2,0.2576,0.47,0.0,8,102,110,Evening Peak
66,2011-01-03,Spring,0,1,20,0,1,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Evening Peak
67,2011-01-03,Spring,0,1,21,0,1,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,Off-peak/Night
68,2011-01-03,Spring,0,1,22,0,1,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Off-peak/Night
69,2011-01-03,Spring,0,1,23,0,1,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Off-peak/Night
70,2011-01-04,Spring,0,1,0,0,2,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Off-peak/Night
71,2011-01-04,Spring,0,1,1,0,2,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Off-peak/Night
72,2011-01-04,Spring,0,1,2,0,2,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Off-peak/Night
73,2011-01-04,Spring,0,1,4,0,2,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Off-peak/Night
74,2011-01-04,Spring,0,1,5,0,2,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Off-peak/Night
75,2011-01-04,Spring,0,1,6,0,2,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Morning Peak
76,2011-01-04,Spring,0,1,7,0,2,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Morning Peak
77,2011-01-04,Spring,0,1,8,0,2,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Morning Peak
78,2011-01-04,Spring,0,1,9,0,2,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Morning Peak
79,2011-01-04,Spring,0,1,10,0,2,1,Cloudy,0.16,0.1364,0.69,0.3284,5,37,42,Morning Peak
80,2011-01-04,Spring,0,1,11,0,2,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Mid-day
81,2011-01-04,Spring,0,1,12,0,2,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Mid-day
82,2011-01-04,Spring,0,1,13,0,2,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,Mid-day
83,2011-01-04,Spring,0,1,14,0,2,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Mid-day
84,2011-01-04,Spring,0,1,15,0,2,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Mid-day
85,2011-01-04,Spring,0,1,16,0,2,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Evening Peak
86,2011-01-04,Spring,0,1,17,0,2,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Evening Peak
87,2011-01-04,Spring,0,1,18,0,2,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,Evening Peak
88,2011-01-04,Spring,0,1,19,0,2,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Evening Peak
89,2011-01-04,Spring,0,1,20,0,2,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Evening Peak
90,2011-01-04,Spring,0,1,21,0,2,1,Clear,0.22,0.2727,0.64,0.0,0,48,48,Off-peak/Night
91,2011-01-04,Spring,0,1,22,0,2,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Off-peak/Night
92,2011-01-04,Spring,0,1,23,0,2,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Off-peak/Night
93,2011-01-05,Spring,0,1,0,0,3,1,Clear,0.2,0.2576,0.64,0.0,0,6,6,Off-peak/Night
94,2011-01-05,Spring,0,1,1,0,3,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,Off-peak/Night
95,2011-01-05,Spring,0,1,2,0,3,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,Off-peak/Night
96,2011-01-05,Spring,0,1,4,0,3,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Off-peak/Night
97,2011-01-05,Spring,0,1,5,0,3,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Off-peak/Night
98,2011-01-05,Spring,0,1,6,0,3,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,Morning Peak
99,2011-01-05,Spring,0,1,7,0,3,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,Morning Peak
100,2011-01-05,Spring,0,1,8,0,3,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Morning Peak
101,2011-01-05,Spring,0,1,9,0,3,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,Morning Peak
102,2011-01-05,Spring,0,1,10,0,3,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,Morning Peak
103,2011-01-05,Spring,0,1,11,0,3,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Mid-day
104,2011-01-05,Spring,0,1,12,0,3,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Mid-day
105,2011-01-05,Spring,0,1,13,0,3,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Mid-day
106,2011-01-05,Spring,0,1,14,0,3,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,Mid-day
107,2011-01-05,Spring,0,1,15,0,3,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,Mid-day
108,2011-01-05,Spring,0,1,16,0,3,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Evening Peak
109,2011-01-05,Spring,0,1,17,0,3,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,Evening Peak
110,2011-01-05,Spring,0,1,18,0,3,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Evening Peak
111,2011-01-05,Spring,0,1,19,0,3,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Evening Peak
112,2011-01-05,Spring,0,1,20,0,3,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Evening Peak
113,2011-01-05,Spring,0,1,21,0,3,1,Clear,0.2,0.197,0.51,0.194,3,40,43,Off-peak/Night
114,2011-01-05,Spring,0,1,22,0,3,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,Off-peak/Night
115,2011-01-05,Spring,0,1,23,0,3,1,Clear,0.2,0.2576,0.47,0.0,1,18,19,Off-peak/Night
116,2011-01-06,Spring,0,1,0,0,4,1,Clear,0.18,0.2424,0.55,0.0,0,11,11,Off-peak/Night
117,2011-01-06,Spring,0,1,1,0,4,1,Clear,0.16,0.2273,0.64,0.0,0,4,4,Off-peak/Night
118,2011-01-06,Spring,0,1,2,0,4,1,Clear,0.16,0.2273,0.64,0.0,0,2,2,Off-peak/Night
119,2011-01-06,Spring,0,1,4,0,4,1,Cloudy,0.16,0.197,0.64,0.0896,0,1,1,Off-peak/Night
120,2011-01-06,Spring,0,1,5,0,4,1,Cloudy,0.14,0.1818,0.69,0.0896,0,4,4,Off-peak/Night
121,2011-01-06,Spring,0,1,6,0,4,1,Cloudy,0.14,0.1667,0.63,0.1045,0,36,36,Morning Peak
122,2011-01-06,Spring,0,1,7,0,4,1,Cloudy,0.16,0.2273,0.59,0.0,0,95,95,Morning Peak
123,2011-01-06,Spring,0,1,8,0,4,1,Clear,0.16,0.2273,0.59,0.0,3,216,219,Morning Peak
124,2011-01-06,Spring,0,1,9,0,4,1,Cloudy,0.18,0.2424,0.51,0.0,6,116,122,Morning Peak
125,2011-01-06,Spring,0,1,10,0,4,1,Clear,0.2,0.2576,0.47,0.0,3,42,45,Morning Peak
126,2011-01-06,Spring,0,1,11,0,4,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Mid-day
127,2011-01-06,Spring,0,1,12,0,4,1,Clear,0.26,0.2879,0.35,0.0,6,78,84,Mid-day
128,2011-01-06,Spring,0,1,13,0,4,1,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Mid-day
129,2011-01-06,Spring,0,1,14,0,4,1,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Mid-day
130,2011-01-06,Spring,0,1,15,0,4,1,Clear,0.28,0.2727,0.36,0.0,8,54,62,Mid-day
131,2011-01-06,Spring,0,1,16,0,4,1,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Evening Peak
132,2011-01-06,Spring,0,1,17,0,4,1,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Evening Peak
133,2011-01-06,Spring,0,1,18,0,4,1,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Evening Peak
134,2011-01-06,Spring,0,1,19,0,4,1,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Evening Peak
135,2011-01-06,Spring,0,1,20,0,4,1,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Evening Peak
136,2011-01-06,Spring,0,1,21,0,4,1,Cloudy,0.22,0.2121,0.55,0.2239,0,48,48,Off-peak/Night
137,2011-01-06,Spring,0,1,22,0,4,1,Cloudy,0.22,0.2121,0.51,0.2836,1,51,52,Off-peak/Night
138,2011-01-06,Spring,0,1,23,0,4,1,Cloudy,0.2,0.197,0.59,0.194,4,19,23,Off-peak/Night
139,2011-01-07,Spring,0,1,0,0,5,1,Cloudy,0.2,0.197,0.64,0.194,4,13,17,Off-peak/Night
140,2011-01-07,Spring,0,1,1,0,5,1,Cloudy,0.2,0.197,0.69,0.2239,2,5,7,Off-peak/Night
141,2011-01-07,Spring,0,1,2,0,5,1,Cloudy,0.2,0.197,0.69,0.2239,0,1,1,Off-peak/Night
142,2011-01-07,Spring,0,1,4,0,5,1,Cloudy,0.2,0.2121,0.69,0.1343,0,1,1,Off-peak/Night
143,2011-01-07,Spring,0,1,5,0,5,1,Light Rain/Snow,0.22,0.2727,0.55,0.0,0,5,5,Off-peak/Night
144,2011-01-07,Spring,0,1,6,0,5,1,Cloudy,0.2,0.2576,0.69,0.0,8,26,34,Morning Peak
145,2011-01-07,Spring,0,1,7,0,5,1,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Morning Peak
146,2011-01-07,Spring,0,1,8,0,5,1,Clear,0.2,0.197,0.51,0.2537,20,190,210,Morning Peak
147,2011-01-07,Spring,0,1,9,0,5,1,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Morning Peak
148,2011-01-07,Spring,0,1,10,0,5,1,Clear,0.22,0.197,0.37,0.3284,16,47,63,Morning Peak
149,2011-01-07,Spring,0,1,11,0,5,1,Cloudy,0.2,0.197,0.4,0.2239,19,48,67,Mid-day
150,2011-01-07,Spring,0,1,12,0,5,1,Cloudy,0.2,0.197,0.37,0.2537,9,50,59,Mid-day
151,2011-01-07,Spring,0,1,13,0,5,1,Cloudy,0.2,0.1818,0.37,0.2836,9,64,73,Mid-day
152,2011-01-07,Spring,0,1,14,0,5,1,Cloudy,0.2,0.197,0.4,0.2537,7,43,50,Mid-day
153,2011-01-07,Spring,0,1,15,0,5,1,Cloudy,0.2,0.2121,0.37,0.1642,9,63,72,Mid-day
154,2011-01-07,Spring,0,1,16,0,5,1,Cloudy,0.2,0.2121,0.37,0.1642,5,82,87,Evening Peak
155,2011-01-07,Spring,0,1,17,0,5,1,Cloudy,0.2,0.2576,0.37,0.0,9,178,187,Evening Peak
156,2011-01-07,Spring,0,1,18,0,5,1,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Evening Peak
157,2011-01-07,Spring,0,1,19,0,5,1,Clear,0.16,0.197,0.55,0.0896,3,92,95,Evening Peak
158,2011-01-07,Spring,0,1,20,0,5,1,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Evening Peak
159,2011-01-07,Spring,0,1,21,0,5,1,Clear,0.18,0.197,0.47,0.1343,0,39,39,Off-peak/Night
160,2011-01-07,Spring,0,1,22,0,5,1,Cloudy,0.18,0.197,0.43,0.1642,2,34,36,Off-peak/Night
161,2011-01-07,Spring,0,1,23,0,5,1,Cloudy,0.18,0.197,0.51,0.1642,1,14,15,Off-peak/Night
162,2011-01-08,Spring,0,1,0,0,6,0,Cloudy,0.18,0.197,0.51,0.1642,1,24,25,Off-peak/Night
163,2011-01-08,Spring,0,1,1,0,6,0,Cloudy,0.18,0.2121,0.55,0.0896,1,15,16,Off-peak/Night
164,2011-01-08,Spring,0,1,2,0,6,0,Cloudy,0.18,0.2424,0.55,0.0,3,13,16,Off-peak/Night
165,2011-01-08,Spring,0,1,3,0,6,0,Light Rain/Snow,0.18,0.197,0.55,0.1642,0,7,7,Off-peak/Night
166,2011-01-08,Spring,0,1,4,0,6,0,Light Rain/Snow,0.18,0.197,0.55,0.1642,0,1,1,Off-peak/Night
167,2011-01-08,Spring,0,1,5,0,6,0,Cloudy,0.16,0.1667,0.74,0.1642,0,5,5,Off-peak/Night
168,2011-01-08,Spring,0,1,6,0,6,0,Cloudy,0.16,0.1667,0.74,0.1642,0,2,2,Morning Peak
169,2011-01-08,Spring,0,1,7,0,6,0,Cloudy,0.16,0.1818,0.74,0.1045,1,8,9,Morning Peak
170,2011-01-08,Spring,0,1,8,0,6,0,Light Rain/Snow,0.16,0.1818,0.93,0.1045,0,15,15,Morning Peak
171,2011-01-08,Spring,0,1,9,0,6,0,Light Rain/Snow,0.16,0.1818,0.93,0.1045,0,20,20,Morning Peak
172,2011-01-08,Spring,0,1,10,0,6,0,Cloudy,0.18,0.197,0.8,0.1642,5,56,61,Morning Peak
173,2011-01-08,Spring,0,1,11,0,6,0,Cloudy,0.2,0.1818,0.69,0.3881,2,60,62,Mid-day
174,2011-01-08,Spring,0,1,12,0,6,0,Cloudy,0.2,0.1818,0.59,0.3582,8,90,98,Mid-day
175,2011-01-08,Spring,0,1,13,0,6,0,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Mid-day
176,2011-01-08,Spring,0,1,14,0,6,0,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Mid-day
177,2011-01-08,Spring,0,1,15,0,6,0,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Mid-day
178,2011-01-08,Spring,0,1,16,0,6,0,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Evening Peak
179,2011-01-08,Spring,0,1,17,0,6,0,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Evening Peak
180,2011-01-08,Spring,0,1,18,0,6,0,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Evening Peak
181,2011-01-08,Spring,0,1,19,0,6,0,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Evening Peak
182,2011-01-08,Spring,0,1,20,0,6,0,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Evening Peak
183,2011-01-08,Spring,0,1,21,0,6,0,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Off-peak/Night
184,2011-01-08,Spring,0,1,22,0,6,0,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Off-peak/Night
185,2011-01-08,Spring,0,1,23,0,6,0,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Off-peak/Night
186,2011-01-09,Spring,0,1,0,0,0,0,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Off-peak/Night
187,2011-01-09,Spring,0,1,1,0,0,0,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Off-peak/Night
188,2011-01-09,Spring,0,1,2,0,0,0,Clear,0.1,0.0606,0.46,0.4627,0,11,11,Off-peak/Night
189,2011-01-09,Spring,0,1,3,0,0,0,Clear,0.1,0.0758,0.46,0.4179,0,4,4,Off-peak/Night
190,2011-01-09,Spring,0,1,4,0,0,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,Off-peak/Night
191,2011-01-09,Spring,0,1,5,0,0,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,Off-peak/Night
192,2011-01-09,Spring,0,1,6,0,0,0,Clear,0.1,0.0909,0.49,0.2836,0,1,1,Morning Peak
193,2011-01-09,Spring,0,1,7,0,0,0,Clear,0.08,0.0909,0.53,0.194,1,5,6,Morning Peak
194,2011-01-09,Spring,0,1,8,0,0,0,Clear,0.1,0.0909,0.49,0.2836,0,10,10,Morning Peak
195,2011-01-09,Spring,0,1,9,0,0,0,Clear,0.12,0.0758,0.46,0.5224,0,19,19,Morning Peak
196,2011-01-09,Spring,0,1,10,0,0,0,Clear,0.14,0.1061,0.43,0.3881,0,49,49,Morning Peak
197,2011-01-09,Spring,0,1,11,0,0,0,Clear,0.16,0.1212,0.4,0.5224,2,47,49,Mid-day
198,2011-01-09,Spring,0,1,12,0,0,0,Clear,0.18,0.1364,0.37,0.4478,4,79,83,Mid-day
199,2011-01-09,Spring,0,1,13,0,0,0,Clear,0.2,0.1667,0.34,0.4478,6,69,75,Mid-day
200,2011-01-09,Spring,0,1,14,0,0,0,Clear,0.22,0.1818,0.32,0.4627,8,64,72,Mid-day
201,2011-01-09,Spring,0,1,15,0,0,0,Clear,0.22,0.197,0.35,0.3582,5,77,82,Mid-day
202,2011-01-09,Spring,0,1,16,0,0,0,Clear,0.2,0.1667,0.34,0.4478,13,79,92,Evening Peak
203,2011-01-09,Spring,0,1,17,0,0,0,Clear,0.18,0.1515,0.37,0.3881,3,59,62,Evening Peak
204,2011-01-09,Spring,0,1,18,0,0,0,Clear,0.16,0.1364,0.4,0.3284,4,44,48,Evening Peak
205,2011-01-09,Spring,0,1,19,0,0,0,Clear,0.16,0.1364,0.43,0.3284,1,40,41,Evening Peak
206,2011-01-09,Spring,0,1,20,0,0,0,Clear,0.14,0.1212,0.46,0.2537,0,38,38,Evening Peak
207,2011-01-09,Spring,0,1,21,0,0,0,Clear,0.14,0.1061,0.46,0.4179,1,19,20,Off-peak/Night
208,2011-01-09,Spring,0,1,22,0,0,0,Clear,0.14,0.1212,0.46,0.2985,5,10,15,Off-peak/Night
209,2011-01-09,Spring,0,1,23,0,0,0,Clear,0.12,0.1364,0.5,0.194,0,6,6,Off-peak/Night
210,2011-01-10,Spring,0,1,0,0,1,1,Clear,0.12,0.1212,0.5,0.2836,2,3,5,Off-peak/Night
211,2011-01-10,Spring,0,1,1,0,1,1,Clear,0.12,0.1212,0.5,0.2836,1,0,1,Off-peak/Night
212,2011-01-10,Spring,0,1,2,0,1,1,Clear,0.12,0.1212,0.5,0.2239,0,3,3,Off-peak/Night
213,2011-01-10,Spring,0,1,3,0,1,1,Clear,0.12,0.1212,0.5,0.2239,0,1,1,Off-peak/Night
214,2011-01-10,Spring,0,1,4,0,1,1,Clear,0.1,0.1212,0.54,0.1343,1,2,3,Off-peak/Night
215,2011-01-10,Spring,0,1,5,0,1,1,Clear,0.1,0.1061,0.54,0.2537,0,3,3,Off-peak/Night
216,2011-01-10,Spring,0,1,6,0,1,1,Clear,0.12,0.1212,0.5,0.2836,0,31,31,Morning Peak
217,2011-01-10,Spring,0,1,7,0,1,1,Clear,0.12,0.1212,0.5,0.2239,2,75,77,Morning Peak
218,2011-01-10,Spring,0,1,8,0,1,1,Cloudy,0.12,0.1212,0.5,0.2836,4,184,188,Morning Peak
219,2011-01-10,Spring,0,1,9,0,1,1,Cloudy,0.14,0.1212,0.5,0.2537,2,92,94,Morning Peak
220,2011-01-10,Spring,0,1,10,0,1,1,Cloudy,0.14,0.1212,0.5,0.2985,0,31,31,Morning Peak
221,2011-01-10,Spring,0,1,11,0,1,1,Cloudy,0.16,0.1364,0.47,0.2836,2,28,30,Mid-day
222,2011-01-10,Spring,0,1,12,0,1,1,Cloudy,0.2,0.1818,0.4,0.2836,5,47,52,Mid-day
223,2011-01-10,Spring,0,1,13,0,1,1,Cloudy,0.2,0.1818,0.4,0.2836,4,50,54,Mid-day
224,2011-01-10,Spring,0,1,14,0,1,1,Cloudy,0.2,0.197,0.4,0.2239,0,47,47,Mid-day
225,2011-01-10,Spring,0,1,15,0,1,1,Cloudy,0.2,0.197,0.4,0.2239,2,43,45,Mid-day
226,2011-01-10,Spring,0,1,16,0,1,1,Clear,0.2,0.2121,0.4,0.1343,4,70,74,Evening Peak
227,2011-01-10,Spring,0,1,17,0,1,1,Clear,0.2,0.2273,0.4,0.1045,4,174,178,Evening Peak
